start,end,text
157080,164560," We're talking like with the iPhones, nearly a hundred grand worth of merchandise under"
164560,167480," this under this fake baby bump."
167480,174040," And apparently the way that they caught her was that she claims to be five months pregnant."
174040,181720," But obviously, yeah, obviously had neither ever actually been pregnant nor ever seen a"
181720,187800," five months pregnant person because her belly was absolutely huge and she was apparently"
187800,192360," walking effortlessly, which caused a lot of suspicion."
192360,193360," Interesting."
193360,194760," Okay."
194760,201560," So after careful inspection, the customs agents discovered she had used duct tape to fix and"
201560,207240," hide smuggled goods beneath the fake silicone belli."
207240,216080," So 202 older like CPUs and nine iPhones, not a baby."
216080,217760," The original source here."
217760,219440," Wait, where's the original article?"
219440,222080," This is a 3D is at least one of the sources."
222080,223080," So we've got that."
223080,227880," The next paragraph goes into say the strangeness about this situation aside from the obvious"
227880,231720," is that customs would have eventually noticed the components and phones once Zao walked"
231720,233560," through a metal detector."
233560,237600," Do they have pregnant women walk through metal detectors?"
237600,238600," Yeah."
238600,239600," Okay."
239600,240600," Yeah."
240600,241600," So like what the heck?"
241600,244600," Yeah, there's nothing about a metal detector that would cause your baby is metallic."
244600,246720," Yeah, exactly, right?"
246720,251680," How could she have possibly thought this was going to work?"
251680,257840," I think that another really kind of key part of this conversation is what is the deal with"
257840,261000," sneaking CPUs into China?"
261000,266240," Okay, well, there are a couple of answers here."
266240,272840," Let's talk about the more traditional reason to smuggle electronics into a country."
272840,281240," One of the things that I heard through the grapevine allegedly was that the online site,"
281240,285640," which I don't believe exists anymore, or if it does, it's under completely new management."
285640,290000," None of the people who would have been involved in this scheme would still be there anyway."
290000,296600," But allegedly, Tiger Direct, okay, e-tailer that you guys probably remember from the days"
296600,304160," of ZipZoomfly, M-Wave, all right, back in the day, I'm talking about, okay, the big four"
304160,310880," were Newegg, Tiger Direct, ZipZoomfly, and M-Wave, like back in the early to mid 2000s."
310880,318640," And allegedly, Tiger Direct, one of the ways that they were so successful was through taking"
318640,328360," advantage of Intel's MDF programs to a degree that just no one seemed to be able to figure"
328360,332720," out or care why they were doing so well, okay?"
332720,334960," So they were based in Florida."
334960,340640," As far as anyone outside could tell, they weren't really selling that much online."
340640,346600," Newegg was based in California, and as far as anyone could tell was selling a lot online,"
346600,352680," Tiger Direct always seemed to sell a lot of Intel CPUs."
352680,358960," And what was really unusual, so said the word through the grapevine, what was really"
358960,365160," unusual about it was that it was a really different scheme mix from all the other major"
365160,371680," online sellers, because typically, especially back then, high-end would sell really well"
371680,378680," online, like at NCIX, our best-selling cards were like your 70 series, 80 series cards"
378680,382200," like for on the Nvidia side, like your high-end GPUs."
382200,387760," Whereas someone like, I remember talking to my Zotack wrap, my Zotack wrap way back in"
387760,392960," the day, and he was saying, you know, oh yeah, you guys are like the biggest seller of high-end"
392960,396040," cards for us in the country, and I'm sitting here, and we sell almost nothing."
396040,397520," How do you even have a job?"
397520,402680," And he was like, oh, well, we sell a ton of like, shit tier cards, but it's all through"
402680,405120," like, like Best Buy or whatever else."
405120,406880," And that's pretty typical."
406880,414120," That's why when you walk into a retail store, they don't have like $6,000 AVR like receivers"
414120,418720," on the shelf, because just the density of customers who are going to buy that sort of"
418720,420160," thing is not high enough."
420160,422080," They're not just walking into a store for that."
422080,427480," It goes through installers, like VARs, a value added resellers, or it goes through online,"
427480,432880," like online boutiques, where if yeah, if you're able to cover like half of a freaking country,"
432880,437160," you could manage to, you could afford to keep three or four of those in stock, you know what"
437160,438160," I mean?"
438160,440560," You can't just put them at 250 locations."
440560,441560," Yeah."
441560,442560," And what, just one each?"
442560,445760," You're going to have at least two or it's not really in stock, is it?"
445760,452520," So it was typical for online sellers to sell a lot of enthusiast tier hardware and for retail"
452520,454200," sellers to sell a lot of low-end."
454200,462640," Now, Tiger Direct had retail stores, but so much of their sales, it's like Celerons,"
462640,465240," Pentiums, like low-end stuff."
465240,471560," And what I heard was that the reason for that is that anytime they needed to hit an MDF target"
471560,479160," or, you know, pump up their volumes through Intel so that they could get marketing funding,"
479160,486560," is they were buying like literal containers of CPUs and then they were going on to container"
486560,489080," ships down to Brazil."
489080,490080," Oh, okay."
490080,492360," So a bit of a different operation, but same idea."
492360,493960," Different operation, same idea."
493960,500800," And the reason for that is that Brazil has absolutely, like, I don't know how to say this"
500800,504160," without using cuss words or just crazy important."
504160,508640," Just unbelievable import tariffs on electronics."
508640,509640," Yeah."
509640,517080," If you see a Brazilian, like an actual Brazilian who lives and works in Brazil holding an iPhone,"
517080,526280," they are a baller because everything, all electronics, just have these wild import tariffs."
526280,530360," And it's so frustrating because you look at it and you go, why?"
530360,531360," Yeah."
531360,535800," Like, okay, sure, you want revenue for your government or whatever."
535800,539560," But maybe how about something more reasonable and then people could actually afford any"
539560,544360," of this stuff and import volumes would go up and like probably it's a net gain all around."
544360,547400," And then you have better technology in the country and that's good for entrepreneurs."
547400,554680," Like there's obvious reasons for, you know, less friction when it comes to international"
554680,558680," trade, particularly around electronics."
558680,560080," But I do."
560080,561080," I don't know."
561080,571680," The point is the smuggling operation that allegedly was taking place out of Florida was"
571680,577720," at least understandable because if you could get those CPUs into the country, even though"
577720,581160," you were going to have to find people who were going to like, you know, buy them like"
581160,587160," cash price under the table or whatever else, the difference in cost between a smuggled"
587160,592320," one and an officially imported one is like double or something like that."
592320,596240," A-prime is saying that it's apparently been to promote in-country manufacturing."
596240,598320," Yeah, but that's not going to happen."
598320,601040," As far as my understanding goes, it didn't really work."
601040,603200," I mean, they've been at this for how long now?"
603200,604200," It's not happening."
604200,605200," Yeah."
605200,607160," Until I put in a fab in Brazil."
607160,608160," It's not."
608160,612400," I remember really old school, like I watched this really old school, like mini doc on smuggling"
612400,617000," Xboxes into Brazil, like original ones."
617000,619000," This is an old topic."
619000,622200," Yeah, not anything."
622200,623200," Anyway."
623200,631960," But so someone brought up that this is maybe to get around some of the Trump introduced."
631960,639520," Well, there's no single American administration to blame for this at this point."
639520,646800," But there are significant export restrictions on electronics into China."
646800,652160," And so if you simply, whether it's a high import tariff that drives up pricing or whether"
652160,658000," it's a shortage that means you simply can't get them, I mean, we've seen around the world,"
658000,662000," never mind Justin Brazil or just in China, we've seen around the world what people are"
662000,667360," willing to pay to get their gaming fix if there's a shortage of something like, say, for example,"
667360,669600," the CPU."
669600,674440," So this $80,000 worth of CPUs, I don't know about the iPhones."
674440,675600," That one, I can't really figure out."
675600,678200," Apple sells in China."
678200,679360," I don't know."
679360,681360," There's other stuff that I really don't get."
681360,687640," It always kind of blows my mind when people will travel to Vancouver and go shopping downtown"
687640,690080," at Fendi or Gucci or whatever."
690080,694360," I'm sitting here, but you don't have Gucci where you're from."
694360,696240," Maybe I'm totally off base here."
696240,700000," It's just like a mindset thing when you're traveling."
700000,702760," You're just like, yeah, I already spent $4,000 to be here."
702760,704800," So what's another two grand on a bag?"
704800,705800," I don't know."
705800,707600," I don't understand the rationale behind it."
707600,712760," Apparently Apple is now assembling the iPhone 13 in Brazil, but not the iPhone 13 mini."
712760,713760," Okay."
713760,715840," So they won one."
715840,716840," The one one."
716840,717840," I got one."
717840,720640," How's the rest of it going?"
720640,721640," Just ridiculous."
721640,722640," Sweet."
722640,725600," But yeah, I just thought that was funny."
725600,726600," Yeah."
726600,729200," So we've seen what people will pay when there's a shortage."
729200,735600," So it's possible that this $80,000 worth of CPUs is worth, I don't know, $100,000, $150,000."
735600,743200," I mean, clearly there was money to be made if she was going to risk, I mean, jail time,"
743200,745680," making an attempt like this."
745680,749760," Can I help you?"
749760,751800," Sorry."
751800,752800," I got it."
752800,753800," We're fine."
753800,754800," Yeah."
754800,761680," No, it's, and this has got to be like pretty much guaranteed jail, right?"
761680,764320," Trying to smuggle over a hundred grand worth of something into a country."
764320,765960," Yeah, I would think so."
765960,767480," The amount of money involved."
767480,769680," I'm pretty sure that I'll throw you into jail here."
769680,773520," Yeah, that's a lot of money."
773520,780720," So I don't know what kind of desperate situation she's in that she feels like she has to do"
780720,781720," this."
781720,785880," But I hope for the best for everyone involved and I think it's time for us to move on to"
785880,787160," our topic number two."
787160,788160," Yeah."
788160,789320," What do you want to talk about next?"
789320,790320," Intel Arc."
790320,791320," All right."
791320,793120," Give some stuff going on."
793120,794120," Yeah, let's talk about it."
794120,795920," Dx9 support."
795920,799080," And Luke refuses to update his drivers."
799080,800080," I do, actually."
800080,801640," As part of the Arc challenge."
801640,802640," I am taking this."
802640,803640," Let's talk about that first."
803640,806040," Then let's talk about how much better these drivers are."
806040,807040," Okay."
807040,808680," So we got an email from Intel."
808680,811080," It was, it was not, I'm not complaining about the fact that I got an email."
811080,814320," Just to be very clear, the person who sent it is a very nice person."
814320,815320," It was worded nicely."
815320,816320," There's no issues with the email."
816320,820200," Well, we got an email telling us that there was this new driver."
820200,821200," Sounds like, okay, cool."
821200,823160," I clicked on the link, went to go download it."
823160,824800," And I was like, wait."
824800,827600," I complained about Arc control."
827600,829280," Intel's overlay software thing."
829280,830640," It's very annoying."
830640,832800," It's extremely annoying."
832800,836440," Do you, don't you just love how when you turn on your computer, you just can't use it"
836440,840040," for a while until Arc control decides to load."
840040,842640," And then you can make it go away and then you can use your control."
842640,850120," Even Microsoft's own built in notification pop up things in the bottom."
850120,854600," They sit over top of the expanded system tray."
854600,858240," You cannot interact with anything in your system tray."
858240,862920," So if your computer's been to sleep for a while, and it's like, boom, boom, boom, boom,"
862920,864560," boom, boom, boom."
864560,868960," I'm trying to use my computer."
868960,876520," Everything, nothing should sit over top of me interacting with my PC."
876520,884280," Anytime I am doing something, like I run into this with like text, text input, for example,"
884280,893640," if I am typing right now, you do not put a window, a focus window in front of me with"
893640,899840," a highlighted okay button, for example, in the event that I maybe press spacebar or"
899840,905080," enter, either of which will activate it and have no idea what just happened."
905080,906400," That may not happen."
906400,907400," And yet it does."
907400,908400," Sorry."
908400,909400," That's an aside."
909400,911000," No, that's completely fine and very valid."
911000,912000," But yeah, okay."
912000,914080," So I left the email."
914080,915080," I went to Arc control."
915080,918440," I went to go check if I could get an update."
918440,922400," It also wanted to make sure that didn't like automatically update without me being at"
922400,923960," my computer or something."
923960,927600," So Arc control does display in the top corner what version of the driver you currently have."
927600,929040," Okay, I'm still on the old one."
929040,930040," Cool."
930040,931040," First one, check."
931040,934000," Then I go to the driver page on Arc control."
934000,936400," This page has not changed at all."
936400,938480," There's still a big banner."
938480,940400," I complain about this in the video."
940400,945080," There's no like update button that you would expect from a piece of software like this"
945080,949600," that updates your driver for you, which is like the entire reason why most people would"
949600,954520," install these types of pieces of software because that's the main value add that they"
954520,956160," have."
956160,957680," But that button doesn't exist."
957680,965320," There is a banner image that says like download here thing and it talks about Warzone 2.0 in"
965320,966320," the banner image."
966320,971560," So I clicked on that being like maybe they forgot to update this picture because that"
971560,975480," is the same picture that has been there since I installed my card."
975480,981880," I click on that it brings me to an article about the Warzone 2.0 driver update thing that"
981880,986200," they had, which is the same page that was there when I first installed my card."
986200,989000," So I'm like, okay, so they haven't updated anything."
989000,992480," I must have gotten like an early email notification."
992480,995320," That's not a hundred percent fair to a user experience."
995320,996960," So I don't really want to update right now."
996960,1002640," But just out of curiosity, I clicked the download now or whatever it was called button."
1002640,1005960," And it brought me to the correct download page."
1005960,1007840," So that link was working."
1007840,1009880," It brought me to the new driver."
1009880,1015600," But I was like, there would have been no reason for me to click this because nothing led me"
1015600,1018000," to think that there was a new driver until I clicked this button."
1018000,1020360," So I would not have done that if I didn't receive the email."
1020360,1022880," So I exited out and formed some of all that kind of stuff."
1022880,1029040," A few different web like reviews sites, written sites, wrote articles on it."
1029040,1032560," So maybe if you were quite the techie and followed a few review sites, you would have"
1032560,1036360," seen it that way and been able to update that almost justified it for me."
1036360,1043160," But I was like, I still haven't been told by user, by Intel as a normal user that this"
1043160,1044760," thing exists."
1044760,1050000," So if I just followed tech to get my parts list and then built my computer and then"
1050000,1052200," ignored it, which is pretty normal."
1052200,1053480," That's very normal."
1053480,1054800," We see a lot of that."
1054800,1055800," There's a ton of that."
1055800,1057440," That's what I used to do."
1057440,1060200," I would not know that this driver update just happened."
1060200,1061200," 100%."
1061200,1063520," There's no way that I would have known."
1063520,1066640," They told me that I would be getting a notification for it."
1066640,1067640," Maybe I did."
1067640,1072880," I loathe the arc notifications."
1072880,1078680," So I purposely ignore them as much as possible because it makes me really mad."
1078680,1080120," So maybe I got one."
1080120,1082320," Maybe I got one while I wasn't at my computer."
1082320,1083320," Yeah."
1083320,1086360," Like just sending one notification is not good or acceptable."
1086360,1091320," A way that I've seen some things do it before is your tray icon updates with a little like"
1091320,1094560," exclamation mark or a dot or something like something like that."
1094560,1095560," That's a better way to handle it."
1095560,1096560," There's something here."
1096560,1097560," Yeah."
1097560,1100760," And then when you click on that, the, it should tell you when the screen comes up like, hey,"
1100760,1101760," there's a new driver."
1101760,1102760," Yeah."
1102760,1106200," Because the driver update is basically the only thing that I want to hear from you."
1106200,1107200," Yes."
1107200,1111320," If you are a graphics card manufacturer, nothing else matters to me."
1111320,1112320," Not at all."
1112320,1116360," And you can pack some other stuff in when you send me to your driver update."
1116360,1117360," Sure."
1117360,1121000," You can have some billboards along the way while I'm installing the driver."
1121000,1125040," You can tell me about some game bundle you're running, but like realistically, if I'm installing"
1125040,1129600," your software and you are a first generation company, right?"
1129600,1132960," So this is Intel's first generation of GPU."
1132960,1138120," If I own your product, there's nothing to upsell me to."
1138120,1139480," I already own it."
1139480,1141200," You don't have to market to me."
1141200,1142840," Like within video, I kind of get it."
1142840,1148920," You install their drivers and it's like the new RTX blah, blah, blah, blah, blah, blah,"
1148920,1149920," or whatever."
1149920,1151800," And it's like, yeah, sure, fine, fair enough."
1151800,1157320," But with Intel, I already have your one card."
1157320,1161120," So unless you're making it better, I'm not interested."
1161120,1166840," Like, or, you know, they'll have or like, we have a game bundle now, buy a whatever and"
1166840,1167840," get a whatever."
1167840,1170480," I don't care what I'm going to go buy a second."
1170480,1171920," No, I'm going to go buy the game."
1171920,1173920," I even thought this was kind of funny."
1173920,1177920," If you have the R control software, there's a giveaway that they were doing where you win"
1177920,1179160," a computer with an arc in it."
1179160,1182640," And I'm like, I have, I have, I have one of those."
1182640,1189480," It's like being at Disneyland and they let the prizes a ticket to Disneyland."
1189480,1192080," You don't want a ticket to Disneyland that you have to use today."
1192080,1196440," Yeah, it's like, I mean, to be clear, sure, I'll go stand outside Disneyland and scalp"
1196440,1197440," it like I guess."
1197440,1200320," But you might as well just give me the cash at that point."
1200320,1203080," Yeah, like you're giving me another arcing card that I can sell."
1203080,1206920," It wouldn't have even made more sense to me if it was a system without a GPU."
1206920,1209720," And they were like, hey, you get to upgrade the rest of your rig now."
1209720,1213040," Here's the latest rig to put around your arc."
1213040,1214040," Yeah."
1214040,1216200," Yeah, like that would have made more, but it was like, nope."
1216200,1218160," The main selling feature was that it came with an arc."
1218160,1219440," I was like, I have one already."
1219440,1220440," Come on."
1220440,1223320," But I mean, I'm not going to dog on them for giving away free computers to people."
1223320,1224800," Yeah, I mean, it's a good thing."
1224800,1226160," It was just funny."
1226160,1227160," That's all."
1227160,1233560," Okay, so yeah, I still have not updated to this new driver despite knowing that it's"
1233560,1237040," apparently actually super awesome and we'll get into that in a second."
1237040,1239400," But I'm kind of holding onto the stance of that."
1239400,1242760," I'm not going to do that until arc control."
1242760,1248760," My arch nemesis, as far as I can tell at this point, is going to inform me in some reasonable"
1248760,1253560," way that there is actually an update, which it hasn't done so far."
1253560,1257400," So I'm just going to keep trudging around on the old driver."
1257400,1262480," LB725C and float plane chats says, Luke, do you have Intel support assistant?"
1262480,1265840," Every time I boot my PC, it tells me about the new arc driver."
1265840,1267600," I'm pretty sure I do."
1267600,1271120," But again, like arch nemesis, that's pretty good."
1271120,1272120," I don't."
1272120,1278000," Okay, first of all, the the arc control notifications cover all other notifications."
1278000,1280120," So if it's informing me, it's true."
1280120,1285200," When I turn on my computer, that that's happening."
1285200,1286480," What's the point in that?"
1286480,1292200," Also I have learned that arc control just disables my whole computer while it's loading."
1292200,1296160," So when it does that, I leave."
1296160,1297160," I'm not kidding."
1297160,1299120," I leave my computer."
1299120,1302120," And that's not me just being like, I'm going to ignore this notification."
1302120,1305600," That's what I've been doing the whole time before I got this email, everything."
1305600,1307480," I wake up in the morning."
1307480,1309320," I do work from home."
1309320,1313240," So one of the first things I do is I turn my computer on just so I can make sure like,"
1313240,1316600," I don't know, it's going to boot because I need to be there for meetings or whatever"
1316600,1317600," else."
1317600,1321760," So one of the first things I do is I turn my computer on and then I go like get breakfast."
1321760,1326520," So what I've done since I installed arc is I get my computer to the point where arc control"
1326520,1331640," is going to rip control of my own computer from my hands until it finishes loading."
1331640,1335520," And I leave and I grab breakfast and I come back to my computer and then it's done booting"
1335520,1336840," up and I eat."
1336840,1340320," Some people are calling Luke Petty over this, but I actually disagree."
1340320,1345920," Luke is trying to experience the product as he would experience it if he wasn't a member"
1345920,1347280," of the tech media."
1347280,1352760," If I did not directly get emailed that message, which again, I'm not complaining about receiving"
1352760,1353760," an email."
1353760,1355480," I'm just saying if I didn't receive that email."
1355480,1356480," Thanks for."
1356480,1357480," Yep."
1357480,1358720," It's good."
1358720,1363000," And it was well explained and was well written like nothing went wrong there."
1363000,1364000," Yeah."
1364000,1365800," My whole complaint is purely with arc control."
1365800,1367640," That he wouldn't have known."
1367640,1372840," So the idea is actually just to maintain the integrity of the challenge, which is that"
1372840,1375560," if he wasn't on an email list, then he wouldn't have known."
1375560,1380240," Because like when we did the Linux challenge, we wouldn't take help from Linux community"
1380240,1382200," members that would not have given us help."
1382200,1383200," We could have."
1383200,1384200," Yeah, we could have."
1384200,1389640," I would have come on like think about the way that the Linux community wants to promote"
1389640,1392000," Linux and they and they do and that's a good thing."
1392000,1393000," Absolutely."
1393000,1395760," It's overall a good thing for the world to promote."
1395760,1399360," Linux, which is a big reason why we did the challenge in the first place."
1399360,1405360," So but with that in mind, so through that lens, consider with the reach that we have"
1405360,1410880," and how much attention, how many eyes were on the Linux challenge, how much support the"
1410880,1417320," Linux community would have thrown at me personally to fix a problem that I had."
1417320,1419680," But that was not the purpose."
1419680,1426240," The purpose was to experience it as though I was not me and not broadcasting these challenges"
1426240,1429480," to a million or two million people."
1429480,1431840," And I think it's an important perspective."
1431840,1436640," With that said, looking at these numbers, I will be installing that driver first thing"
1436640,1437640," when I get home."
1437640,1442280," And I want to because this is sick and I have to give them props for props as do."
1442280,1446520," I mentioned in an email back to them about this stuff because I informed them of everything"
1446520,1451400," that I just said because I want to give them the opportunities early and often to do cool"
1451400,1452400," things."
1452400,1455360," But I informed them that like we actually played Star Citizen."
1455360,1458880," I straight up did not expect it was going to work like at all."
1458880,1459880," Yeah."
1459880,1460880," Yeah."
1460880,1464080," When we were loading it, I was expecting that we were like throwing it under the bus and"
1464080,1465560," then it was fine."
1465560,1468240," Well, it was as fine as Star Citizen ever is."
1468240,1469240," Yes."
1469240,1470240," It was."
1470240,1471240," Yeah, it was a little choppy here and there."
1471240,1472240," Yeah."
1472240,1473240," But it was on my old card as well."
1473240,1474960," And I almost got stuck in my ship again."
1474960,1477200," Like that's normal."
1477200,1480480," Like there was nothing that I was like, okay, this is ARX fault."
1480480,1484800," It was just like, okay, this is playing Star Citizen in 2022."
1484800,1488640," So I was quite impressed with how well it did that."
1488640,1491360," It's been completely fine in Halo since I turned off reflections."
1491360,1498040," I've actually had very, very few problems in game over the last little while."
1498040,1501240," And this is a huge performance jump."
1501240,1502240," Yeah."
1502240,1504920," I mean, on the one hand, like I kind of want to talk about it."
1504920,1510280," It entails 1.2 gigabyte driver downloads."
1510280,1514880," And the slow servers that they are serving them from."
1514880,1515880," Okay."
1515880,1519440," But on the other hand, man, if they're going to pack this kind of feature improvement into"
1519440,1521360," these drivers, I guess I'll give it an over it."
1521360,1523440," I'll download five gigabyte driver updates."
1523440,1530040," What we're looking at here is DirectX 9 games and their relative performance going from"
1530040,1535200," driver 3490 to driver 3953."
1535200,1541160," This is based on 1080p high and 1440p ultra settings across six games."
1541160,1543560," So over here, the side is 1080p."
1543560,1546080," This side is 1440p."
1546080,1553160," And it's not clear if we're looking at, you know, 1 percentile minimum frame rates or"
1553160,1555640," if we're looking at averages or whatever else."
1555640,1558840," But there's no denying that these are substantial improvements."
1558840,1559840," Huge."
1559840,1564240," So it has been an extremely sore spot for our performance."
1564240,1572240," Well, really, since the very beginning and a 1.79 times performance improvement is enormous."
1572240,1580680," Like we joked in our review, we said like, hey, Intel couldn't help noticing, but that"
1580680,1585240," your brand new GPU is getting outperformed by a card from, I forget what it was, like"
1585240,1587200," eight years ago or something like that."
1587200,1591360," Yeah, that's a high end card and this is a mid range GPU."
1591360,1593480," But still yikes."
1593480,1600320," Well, this at least puts arc within, you know, modern GPU performance, even if it's not going"
1600320,1602000," to be at the top of the charts."
1602000,1603160," This is enormous."
1603160,1610000," The bigger news though, the cooler news is how this happened."
1610000,1616640," It's not like all of a sudden they managed to make the arc a texture."
1616640,1626560," Of the 700 series cards, better for DirectX 9, it's actually still running."
1626560,1628440," I guess it would be Vulcan, I guess."
1628440,1631880," Yeah, it's still running Vulcan, which is a modern API."
1631880,1636760," And arc has always been solid for DirectX 12 and Vulcan games."
1636760,1638720," It's just using a translation layer."
1638720,1639720," I'm not sure if it's Vulcan."
1639720,1641920," It might actually be translating to DirectX 12."
1641920,1642920," Don't quote me on that."
1642920,1643920," The SVK?"
1643920,1644920," Yeah."
1644920,1647000," No, it would be Vulcan, right?"
1647000,1648000," I think so."
1648000,1649320," Oh crap, I hope I'm not getting this wrong."
1649320,1652520," Guys jump in if we're getting this wrong, but I'm pretty sure."
1652520,1653520," So sorry."
1653520,1654520," It is Vulcan."
1654520,1655520," Oh good."
1655520,1665760," Okay, so they're using what is actually like one of the foundational components of"
1665760,1667200," what would you describe it?"
1667200,1668200," How would you describe it?"
1668200,1670440," What's Valve's name for their?"
1670440,1671440," A pro?"
1671440,1672440," Yeah, yeah, proton."
1672440,1673520," Do they still call it proton?"
1673520,1674520," I think so."
1674520,1678520," I think we branded it anyway, but it's one of the foundational elements of proton, which"
1678520,1686880," is what Valve is using to take DirectX games that were never designed to be run on Linux,"
1686880,1693920," convert them on the fly as you are gaming them, gaming them as you are playing them into"
1693920,1695200," into Vulcan."
1695200,1698120," So is that wild or what?"
1698120,1699120," Yeah."
1699120,1708000," So DXVK, Vulcan based implementation of D3D9, D3D10 and D3D11 for Linux/Wine."
1708000,1711560," For Linux/Wine/Windows apparently."
1711560,1712560," Yeah."
1712560,1723640," So Linux API Hackeray being used to make Intel's 79% performance increases in through"
1723640,1724640," SGO on Windows."
1724640,1725640," Imagine?"
1725640,1726640," That's sick."
1726640,1732120," Anything else in the world, whereby instead of running it natively, running it through"
1732120,1736920," a translation layer gets you an 80% performance improvement."
1736920,1739040," It's pretty wild."
1739040,1743480," So I think what we saw, I don't know if it was one, like first percentile, whatever"
1743480,1750800," stuff, but apparently it was a 2.3 times boost in 99th percentile FPS in CSGO."
1750800,1751800," Okay."
1751800,1755680," Pete Torres says they aren't just using DXVK, but their code contains some components of"
1755680,1756680," DXVK."
1756680,1757680," Yes."
1757680,1760720," And no, it's not related to proton other than that proton also uses DXVK."
1760720,1761720," I know."
1761720,1766720," I said that DXVK was one of the foundational elements of proton."
1766720,1767720," Yeah."
1767720,1770840," That is, is open source cool or what?"
1770840,1772000," That's pretty sick."
1772000,1774880," This is a very, very good use of it."
1774880,1779120," I'm very happy about this driver update and I hope it treats you well and we'll see"
1779120,1780960," if I get to use it at all."
1780960,1783600," Apparently it's an even bigger boost to 99th percentile FPS."
1783600,1784600," That's what I was just saying."
1784600,1786600," What we did about it is 2.3 times."
1786600,1787600," Oh, did I totally miss that?"
1787600,1788600," You did."
1788600,1789600," I'm sorry."
1789600,1791440," I was checking some, what people are saying in chat."
1791440,1792440," There was some, okay."
1792440,1793600," I want to address that really quickly."
1793600,1794760," I'm going to go off the rails."
1794760,1795760," Actually, hold on."
1795760,1797360," Can I go off the rails really quick here?"
1797360,1798360," Sure."
1798360,1799360," It's not that I ignore him."
1799360,1800360," Okay."
1800360,1805520," People thought I was, or are we talking about the same thing?"
1805520,1806840," No, you do it."
1806840,1807840," You do it."
1807840,1813000," I was going to say it's, people keep saying like, oh, like, like, there was a lot of comments"
1813000,1815280," about this on our GPT chat."
1815280,1817480," They were like, oh, Luke's talking about stuff and he's ignoring him."
1817480,1818600," That's not how it works."
1818600,1822440," We both do the same thing and it's always worked this way and I'm sorry, but it's always"
1822440,1824080," going to work this way."
1824080,1830080," If the other person is talking, the other one is going to be trying to either listen because"
1830080,1833120," they know they're going to throw back with something and they know they can continue the"
1833120,1839240," conversation or they're going to be doing something to try to find ways to continue the"
1839240,1841840," conversation after that person is done talking."
1841840,1847040," In the GPT conversation, he was typing stuff into GPT, getting examples to show on screen,"
1847040,1848040," learning about it."
1848040,1849040," I was creating an account."
1849040,1850040," Yeah."
1850040,1851880," He's like doing things in order to keep driving forward."
1851880,1854160," It's not that we're ignoring each other."
1854160,1856760," We'll just sit here and like think about bananas or whatever."
1856760,1859320," Like if I'm on my phone during the show."
1859320,1861080," He's doing something."
1861080,1867760," I can tell you, you can be damn good and sure that what I'm doing is either something"
1867760,1873920," that is on fire and I must be aware of or it is related to the show."
1873920,1874920," Yeah."
1874920,1880360," So you might not be like dragging on the every word of the other person, but we're still"
1880360,1881360," engaging."
1881360,1883320," I would never drag on every word you say."
1883320,1884320," That's probably fair enough."
1884320,1886160," I think the word you're looking for was hanging on."
1886160,1887160," Draw on?"
1887160,1888160," Hang on?"
1888160,1889160," Sure."
1889160,1890160," There we go."
1890160,1891160," I got there."
1891160,1893640," It's probably good that he doesn't because then there'd be more of those."
1893640,1896720," I would tease him so much more."
1896720,1898560," Yeah, like don't worry about it."
